chr	pos	pos2	p.value	test.s	con.s	test.s2	con.s2	test.mC	con.mC	test.mC2	con.mC2	test.post	con.post	test.post2	con.post2	meanDiff	DM.p	DM.status	index	meanCov.test	meanCov.control
chr1	9704514	NA	0.0286	0.5:0:0.5:1	1:1:0.5:1	NA	NA	0.33:0.17:0.55:1	0.88:1:0.64:1	NA	NA	0.83:0.87:1:1	0.97:1:1:1	NA	NA	-0.3654	hypo	hypo	139	8	10.75
chr1	9709006	9709019	0.0062	0:0.5:0:0	0.5:1:1:1	0:0.5:0:0.5	1:0.5:1:0.5	0:0.78:0:0	0.33:0.78:0.86:1	0:0.44:0:0.67	0.83:0.56:0.86:0.5	1:0.67:1:1	0.9:0.6:1:1	1:1:1:1	1:0.97:1:1	-0.5476	hypo	hypo	142	18.75	8.25
chr1	9709087	9709088	0.0406	0:0:0:0.5	0.5:0.5:0:0.5	0.5:0:0:0	0.5:0.5:0.5:0.5	0:0:0:0.55	0.67:0.6:0:0.65	0.46:0:0.02:0	0.62:0.8:0.67:0.72	1:1:1:1	1:0.97:1:0.9	1:1:1:1	1:0.6:0.93:0.83	-0.3415	hypo	hypo	147	35	13.25
chr1	9709088	9709099	0.0256	0.5:0:0:0	0.5:0.5:0.5:0.5	1:0.5:0:0.5	0.5:0.5:0.5:0.5	0.46:0:0.02:0	0.62:0.8:0.67:0.72	0.77:0.54:0:0.71	0.58:0.6:0.5:0.4	1:1:1:1	1:0.6:0.93:0.83	0.53:1:1:0.73	0.97:0.97:1:1	-0.5831	hypo	hypo	148	39	10.5
chr1	9709100	9709105	0.0406	0:0:0:0	0.5:0.5:0.5:0.5	0:0.5:0:0	0.5:0:0.5:0	0:0.11:0:0.02	0.38:0.4:0.67:0.56	0:0.69:0:0	0.75:0.2:0.5:0	1:0.97:1:1	0.97:1:1:1	1:0.7:1:1	0.67:0.77:1:1	-0.4656	hypo	hypo	150	39	10.5
chr1	9709116	9709117	0.0134	0:0:0.5:0	0.5:0.5:0.5:0.5	0:1:1:0	0.5:1:1:0.5	0:0:0.58:0	0.54:0.4:0.5:0.4	0.23:0.78:0.86:0	0.69:1:1:0.67	1:1:1:1	1:1:0.97:1	0.77:0.77:0.7:1	1:1:1:0.93	-0.316	hypo	hypo	153	35	13.25
chr1	9709132	9709133	0.0145	0:0:0:0.5	0.5:1:0:0.5	0:0:0:0	0.5:1:0.5:0.5	0:0:0:0.62	0.58:1:0.25:0.6	0:0:0:0	0.5:0.8:0.33:0.67	1:1:1:1	1:1:0.53:0.97	1:1:1:1	1:0.87:0.83:0.97	-0.4525	hypo	hypo	155	35	13.25
chr1	9709133	9709141	0.0177	0:0:0:0	0.5:1:0.5:0.5	0:0.5:0:1	0.5:0:0.5:0.5	0:0:0:0	0.5:0.8:0.33:0.67	0:0.77:0:0.77	0.58:0:0.25:0.65	1:1:1:1	1:0.87:0.83:0.97	1:0.5:1:0.57	1:1:0.73:1	-0.575	hypo	hypo	156	39	10.5
chr1	9709150	9709161	0.0373	0.5:0:0:0	1:0.5:0.5:1	1:0:0.5:0	1:0.5:0.5:0.5	0.69:0:0.02:0	0.81:0.8:0.67:0.89	0.85:0:0.58:0	0.75:0.6:0.75:0.65	0.67:1:1:1	0.83:0.57:0.73:0.87	0.77:1:1:1	0.93:0.87:0.57:0.6	-0.614	hypo	hypo	160	39	10.5
chr1	9709162	9709173	0.0079	0.5:0:0:0	1:1:0.5:1	0.5:0:0:0	0.5:0.5:0.5:0.5	0.46:0:0:0	0.81:1:0.67:0.83	0.46:0:0:0	0.58:0.6:0.75:0.65	1:1:1:1	0.97:0.97:0.83:0.7	0.97:1:1:1	0.93:0.97:0.67:0.9	-0.7128	hypo	hypo	162	39	10.5
chr1	9709173	9709174	0.0014	0.5:0:0:0	0.5:0.5:0.5:0.5	0:0:0:0	0.5:0.5:0.5:0.5	0.46:0:0:0	0.58:0.6:0.75:0.65	0:0:0:0	0.56:0.4:0.33:0.56	0.97:1:1:1	0.93:0.97:0.67:0.9	1:1:1:1	1:0.97:0.9:0.97	-0.5304	hypo	hypo	163	35	13.25
chr1	9709174	9709175	3e-04	0:0:0:0	0.5:0.5:0.5:0.5	1:0:0:0	0.5:0.5:1:0.5	0:0:0:0	0.56:0.4:0.33:0.56	0.85:0:0:0	0.46:0.4:1:0.75	1:1:1:1	1:0.97:0.9:0.97	0.93:1:1:1	1:1:1:0.83	-0.4628	hypo	hypo	164	39	10.5
chr1	9717491	9717558	0.0319	0.5:1:0.5:0.5	0:0:0:0.5	0.5:1:0.5:0.5	1:0:0:0.5	0.5:1:0.5:0.75	0:0:0:0.67	0.75:1:0.56:0.65	0.91:0:0:0.62	1:1:1:0.57	1:1:1:0.93	0.8:1:1:0.9	1:1:1:1	0.5192	hyper	hyper	168	16.75	21.5
chr1	9825787	9825793	0.0438	0.5:0:0:0	0:1:0.5:0.5	0:0:1:0	0.5:0.5:1:0.5	0.52:0:0:0	0:1:0.42:0.73	0:0:1:0	0.65:0.5:0.73:0.52	1:1:1:1	1:1:1:0.7	1:1:1:1	0.93:1:0.67:0.97	-0.4082	hypo	hypo	205	25	13.5
chr1	9826256	9826258	0.0242	1:1:0.5:0.5	0:0:0:0.5	1:0:0.5:0.5	0:0:0.5:0	1:0.86:0.6:0.71	0:0:0:0.33	1:0:0.6:0.7	0:0:0.76:0	1:0.97:1:0.93	1:1:1:0.63	1:1:1:0.93	1:1:0.57:1	0.7095	hyper	hyper	266	8.75	18.5
