chr	pos	Hypo.pos	EM.pos	Hyper.pos	max.p	mCstatus	meanDiff	DM.status	index	meanCov.test	meanCov.control
chr21	9439599	0	1	0	1	0	-0.1667	0	1	5.75	8.75
chr21	9439635	0	1	0	1	0	-0.0292	0	2	5.75	8.75
chr21	9439636	0	1	0	1	0	0.0104	0	3	5.75	7.75
chr21	9439677	0	0.9667	0.0333	0.9667	0	0.5208	0	4	5.75	8.75
chr21	9439678	0	1	0	1	0	0.0209	0	5	5.75	7.75
chr21	9439684	0	1	0	1	0	0.1583	0	6	5.75	8.75
chr21	9439685	0	1	0	1	0	0.0417	0	7	5.75	7.75
chr21	9439716	0	0.9667	0.0333	0.9667	0	0.2542	0	8	5.75	8.75
chr21	9439717	0	1	0	1	0	0.0174	0	9	5.75	7.75
chr21	9439724	0	1	0	1	0	0.1917	0	10	5.75	8.75
chr21	9439725	0	1	0	1	0	-0.2465	0	11	5.75	7.75
chr21	9439741	0.2667	0.7333	0	0.7333	0	-0.3403	0	12	5.75	7.75
chr21	9487715	0.1333	0.7667	0.1	0.7667	0	0.0576	0	13	16.25	6.75
chr21	9487741	0.0667	0.8667	0.0667	0.8667	0	-0.0664	0	14	16.25	6.75
chr21	9540076	0.0333	0.7	0.2667	0.7	0	0.2264	0	15	6.25	8
chr21	9540079	0.0333	0.9667	0	0.9667	0	-0.0417	0	16	6.25	8
chr21	9540084	0.0333	0.9667	0	0.9667	0	-0.267	0	17	6.25	8
chr21	9540093	0.0333	0.8333	0.1333	0.8333	0	0.2295	0	18	6.25	8
chr21	9540119	0	0.8667	0.1333	0.8667	0	0.3042	0	19	6.25	8
chr21	9540129	0	1	0	1	0	0.1917	0	20	6.25	8
chr21	9540175	0	1	0	1	0	0.0458	0	21	6.25	8
chr21	9540282	0.5	0.5	0	0.5	0	-0.2383	0	22	24.75	11.75
chr21	9540283	0.1	0.9	0	0.9	0	-0.1475	0	23	41	17.5
chr21	9540320	0.2	0.7667	0.0333	0.7667	0	-0.067	0	24	24.75	11.75
chr21	9540321	0.2	0.5667	0.2333	0.5667	0	0.0869	0	25	22.5	9.5
chr21	9540324	0.0333	0.4333	0.5333	0.5333	1	0.2912	0	26	24.75	11.75
chr21	9540325	0.1333	0.5	0.3667	0.5	0	0.0655	0	27	22.5	9.5
chr21	9540330	0.0667	0.6333	0.3	0.6333	0	0.0548	0	28	24.75	11.75
chr21	9540331	0	1	0	1	0	-0.1104	0	29	22.5	9.5
chr21	9540372	0	1	0	1	0	0	0	30	24.75	11.75
chr21	9540373	0.5667	0.3	0.1333	0.5667	-1	-0.3815	-1	31	22.5	9.5
chr21	9541150	0	1	0	1	0	-0.0178	0	32	16	23.25
chr21	9541172	0.0667	0.9	0.0333	0.9	0	0.1061	0	33	16	23.25
chr21	9541213	0.1333	0.8667	0	0.8667	0	-0.2261	0	34	16	23.25
chr21	9574704	0	1	0	1	0	0.0391	0	35	15.75	29.5
chr21	9574705	0	1	0	1	0	0.0417	0	36	16.25	27.75
chr21	9574716	0	0.9667	0.0333	0.9667	0	0.2177	0	37	15.75	29.5
chr21	9574717	0.3	0.7	0	0.7	0	-0.2597	0	38	16.25	27.75
chr21	9574765	0.0667	0.5333	0.4	0.5333	0	0.2353	0	39	15.75	29.5
chr21	9574766	0.1	0.8	0.1	0.8	0	-0.059	0	40	16.25	27.75
chr21	9574773	0	1	0	1	0	-0.0178	0	41	15.75	29.5
chr21	9574774	0	1	0	1	0	0.134	0	42	16.25	27.75
