chr	pos	Hypo.pos	EM.pos	Hyper.pos	max.p	mCstatus	meanDiff	DM.status	index	meanCov.test	meanCov.control
chr21	9540373	0.5667	0.3	0.1333	0.5667	-1	-0.3815	-1	31	22.5	9.5
chr21	9664671	0.5	0.4667	0.0333	0.5	-1	-0.3713	-1	84	21.5	9.25
chr21	9704431	0.6	0.4	0	0.6	-1	-0.4074	-1	135	8	10.75
chr21	9709088	0.7667	0.2333	0	0.7667	-1	-0.5831	-1	148	39	10.5
chr21	9709100	0.8	0.2	0	0.8	-1	-0.4656	-1	150	39	10.5
chr21	9709133	0.7333	0.2667	0	0.7333	-1	-0.575	-1	156	39	10.5
chr21	9709150	0.8	0.2	0	0.8	-1	-0.614	-1	160	39	10.5
chr21	9709161	0.5333	0.3667	0.1	0.5333	-1	-0.3315	-1	161	35	13.25
chr21	9709162	0.9333	0.0667	0	0.9333	-1	-0.7128	-1	162	39	10.5
chr21	9709173	0.7667	0.2333	0	0.7667	-1	-0.5304	-1	163	35	13.25
chr21	9709174	0.6333	0.3667	0	0.6333	-1	-0.4628	-1	164	39	10.5
chr21	9709188	0.8	0.2	0	0.8	-1	-0.6174	-1	167	39	10.5
chr21	9825653	0	0.5	0.5	0.5	1	0.6098	1	201	15.75	15.75
chr21	9826256	0	0.2333	0.7667	0.7667	1	0.7095	1	266	8.75	18.5
chr21	9826636	0	0.1	0.9	0.9	1	0.6623	1	328	21.5	9.5
chr21	9826637	0.1	0.1	0.8	0.8	1	0.3543	1	329	15.5	9.5
chr21	9826718	0	0.4667	0.5333	0.5333	1	0.5679	1	349	13.25	13.75
chr21	9826887	0	0.2	0.8	0.8	1	0.6974	1	393	18.5	10.75
chr21	9826932	0	0.4333	0.5667	0.5667	1	0.4932	1	412	21.75	12.25
chr21	9876842	0.0667	0.3667	0.5667	0.5667	1	0.4328	1	477	21.75	15.25
chr21	9876963	0.0333	0.4667	0.5	0.5	1	0.4412	1	488	23.5	13
chr21	9876999	0.0333	0.3	0.6667	0.6667	1	0.5329	1	491	23.5	13
chr21	9879239	0	0.4667	0.5333	0.5333	1	0.5678	1	492	18	10
chr21	9909575	0.9667	0.0333	0	0.9667	-1	-0.7513	-1	559	13	8.75
chr21	9909576	0.5	0.4667	0.0333	0.5	-1	-0.4312	-1	560	14	11.25
chr21	9909602	0.9	0.1	0	0.9	-1	-0.7299	-1	562	12.75	10.25
chr21	9926563	0.9667	0.0333	0	0.9667	-1	-0.9438	-1	622	21.5	13.25
chr21	9926601	1	0	0	1	-1	-0.9438	-1	630	21.5	13.25
chr21	9926602	0.9667	0.0333	0	0.9667	-1	-0.9565	-1	631	19.25	9
chr21	9926627	1	0	0	1	-1	-0.8848	-1	633	19.25	9
chr21	9926653	1	0	0	1	-1	-0.9097	-1	634	13.25	16.5
chr21	9926671	0.6667	0.3333	0	0.6667	-1	-0.6389	-1	635	13.25	16.5
chr21	9926672	0.5667	0.4333	0	0.5667	-1	-0.691	-1	636	13.5	17
chr21	9926685	1	0	0	1	-1	-0.903	-1	642	13.5	17
chr21	9926693	1	0	0	1	-1	-0.816	-1	645	13.25	16.5
chr21	9926694	0.8667	0.1333	0	0.8667	-1	-0.5848	-1	646	13.5	17
chr21	9926742	0.5333	0.4667	0	0.5333	-1	-0.6644	-1	654	13.5	17
chr21	9926765	1	0	0	1	-1	-0.8365	-1	655	13.5	17
chr21	9926775	0.9	0.1	0	0.9	-1	-0.6472	-1	656	13.5	37.75
chr21	9926777	1	0	0	1	-1	-0.7801	-1	657	13.5	37.75
chr21	9926808	0.7333	0.2667	0	0.7333	-1	-0.6847	-1	658	13.5	37.75
chr21	9926810	1	0	0	1	-1	-0.7994	-1	659	13.5	37.75
chr21	9926826	0.8	0.2	0	0.8	-1	-0.5706	-1	660	13.5	37.75
chr21	9926828	0.6333	0.3667	0	0.6333	-1	-0.5918	-1	661	13.5	37.75
chr21	9926883	0.9	0.1	0	0.9	-1	-0.5694	-1	662	13.5	37.75
chr21	9926886	0.9667	0.0333	0	0.9667	-1	-0.9258	-1	663	10	7.75
chr21	9926887	1	0	0	1	-1	-0.6155	-1	664	25.5	47.75
chr21	9926895	0.9667	0.0333	0	0.9667	-1	-0.6739	-1	666	10	7.75
chr21	9926928	0.6	0.4	0	0.6	-1	-0.6673	-1	667	10	7.75
chr21	9926990	0.8	0.2	0	0.8	-1	-0.6934	-1	669	13.25	5.25
chr21	9927045	0.8667	0.1333	0	0.8667	-1	-0.6143	-1	672	13.25	5.25
chr21	9927058	1	0	0	1	-1	-0.9226	-1	673	13.25	5.25
chr21	9927065	0.9667	0.0333	0	0.9667	-1	-0.8667	-1	674	13.25	5.25
chr21	9968708	0.7	0.3	0	0.7	-1	-0.5003	-1	730	12.5	23.5
chr21	9968721	0.0333	0.3667	0.6	0.6	1	0.3632	1	734	12.5	23.5
chr21	10597283	0	0.2	0.8	0.8	1	0.7148	1	808	19.75	6.25
chr21	10597960	0.7	0.2667	0.0333	0.7	-1	-0.3054	-1	830	8.5	31
chr21	10598205	0.5	0.5	0	0.5	-1	-0.3264	-1	848	26.75	20.25
chr21	10598283	0	0.0667	0.9333	0.9333	1	0.8849	1	861	31.25	22
chr21	10598317	0.5667	0.4333	0	0.5667	-1	-0.3166	-1	867	31.25	22
chr21	10772711	0.6667	0.3333	0	0.6667	-1	-0.6062	-1	962	6.5	12.25
chr21	10884805	0	0.4333	0.5667	0.5667	1	0.327	1	963	33	33.25
chr21	10885060	0.0333	0.3	0.6667	0.6667	1	0.4191	1	975	26.75	7.5
chr21	10885062	0.8667	0.1333	0	0.8667	-1	-0.3586	-1	976	41.25	14
chr21	10891704	0.8	0.2	0	0.8	-1	-0.3199	-1	991	20	11.5
chr21	10891839	0.5667	0.4333	0	0.5667	-1	-0.3171	-1	1004	16.5	9.5
chr21	10891859	0	0.4333	0.5667	0.5667	1	0.4059	1	1006	16.5	9.5
chr21	10990167	0.7	0.3	0	0.7	-1	-0.6359	-1	1067	16.25	24.5
chr21	10990178	0.7	0.2667	0.0333	0.7	-1	-0.3494	-1	1068	16.25	24.5
chr21	10990557	0.6	0.4	0	0.6	-1	-0.4252	-1	1086	28	13.25
chr21	10990644	0.6	0.4	0	0.6	-1	-0.3837	-1	1102	14.75	35.75
chr21	10990660	0.6667	0.3333	0	0.6667	-1	-0.3272	-1	1103	19.25	41
chr21	10990683	0.5667	0.4333	0	0.5667	-1	-0.5021	-1	1111	19.25	41
chr21	10990715	0	0.4	0.6	0.6	1	0.4627	1	1113	19.25	41
chr21	10991005	0	0.2333	0.7667	0.7667	1	0.5253	1	1155	41.75	34.25
chr21	11012041	0.6333	0.3667	0	0.6333	-1	-0.3976	-1	1173	16	14.25
chr21	11017390	0	0.3	0.7	0.7	1	0.3194	1	1177	13	11
chr21	11099119	0.0333	0.2333	0.7333	0.7333	1	0.3804	1	1243	27.5	12.75
