chrBase	chr	base	strand	coverage	freqC	freqT
chr1.202833315	chr1	202833315	R	18	0.00	100.00
chr1.202833323	chr1	202833323	R	38	73.68	26.32
chr1.202833367	chr1	202833367	R	39	0.00	100.00
chr1.202833371	chr1	202833371	R	39	0.00	100.00
chr2.33419147	chr2	33419147	R	12	0.00	100.00
chr2.33419155	chr2	33419155	R	24	83.33	16.67
chr2.33419199	chr2	33419199	R	28	64.29	35.71
chr2.33419203	chr2	33419203	R	28	71.43	28.57
chr2.33419211	chr2	33419211	R	28	85.71	14.29
chr2.33419215	chr2	33419215	R	25	76.00	24.00
chr2.127877184	chr2	127877184	F	49	100.00	0.00
chr2.127877194	chr2	127877194	F	51	92.16	7.84
chr2.127877212	chr2	127877212	F	51	100.00	0.00
chr2.127877217	chr2	127877217	F	51	92.16	7.84
chr2.127877225	chr2	127877225	F	24	0.00	100.00
chr3.12010813	chr3	12010813	F	17	0.00	100.00
chr3.52024730	chr3	52024730	R	20	0.00	100.00
chr3.52024744	chr3	52024744	R	43	60.47	39.53
chr3.181559551	chr3	181559551	F	10	60.00	40.00
chr4.190008866	chr4	190008866	F	10	20.00	80.00
chr4.190008882	chr4	190008882	F	10	100.00	0.00
chr4.190008926	chr4	190008926	F	10	40.00	60.00
chr6.163009709	chr6	163009709	R	37	48.65	51.35
chr6.163009729	chr6	163009729	R	39	0.00	100.00
chr6.163009733	chr6	163009733	R	37	62.16	37.84
chr6.163009741	chr6	163009741	R	36	72.22	27.78
chr6.163009745	chr6	163009745	R	38	0.00	100.00
chr7.123340086	chr7	123340086	F	68	67.65	32.35
chr7.123340098	chr7	123340098	F	70	72.86	27.14
chr7.123340100	chr7	123340100	F	69	85.51	14.49
chr7.123340102	chr7	123340102	F	73	19.18	80.82
chr7.123340122	chr7	123340122	F	73	76.71	23.29
chr7.123340146	chr7	123340146	F	65	67.69	32.31
chr7.123340154	chr7	123340154	F	33	6.06	93.94
chr8.25164078	chr8	25164078	F	95	64.21	35.79
chr8.25164082	chr8	25164082	F	95	66.32	33.68
chr8.25164102	chr8	25164102	F	98	97.96	2.04
chr9.26806618	chr9	26806618	F	32	100.00	0.00
chr9.26806622	chr9	26806622	F	34	38.24	61.76
chr9.26806630	chr9	26806630	F	34	76.47	23.53
chr9.26806667	chr9	26806667	F	35	94.29	5.71
chr9.26806678	chr9	26806678	F	32	93.75	6.25
chr13.110940329	chr13	110940329	F	21	0.00	100.00
chr13.110940331	chr13	110940331	F	21	0.00	100.00
chr13.110940341	chr13	110940341	F	21	0.00	100.00
chr13.110940385	chr13	110940385	F	22	0.00	100.00
chr16.17599839	chr16	17599839	F	57	75.44	24.56
chr16.17599843	chr16	17599843	F	52	76.92	23.08
chr16.17599849	chr16	17599849	F	58	17.24	82.76
chr16.17599867	chr16	17599867	F	54	0.00	100.00
chr16.17599872	chr16	17599872	F	54	0.00	100.00
chr17.1350011	chr17	1350011	R	10	20.00	80.00
chr17.1350043	chr17	1350043	R	10	0.00	100.00
chr17.1350047	chr17	1350047	R	10	0.00	100.00
chr17.9742202	chr17	9742202	F	55	74.55	25.45
chr17.9742223	chr17	9742223	F	52	0.00	100.00
chr17.9742246	chr17	9742246	F	53	56.60	43.40
chr17.9742254	chr17	9742254	F	27	0.00	100.00
chr21.9437432	chr21	9437432	F	24	91.67	8.33
chr21.9437444	chr21	9437444	F	47	0.00	100.00
chr21.9437458	chr21	9437458	F	48	0.00	100.00
chr21.9437461	chr21	9437461	F	45	68.89	31.11
chr21.9437464	chr21	9437464	F	48	0.00	100.00
chr21.9437470	chr21	9437470	F	45	77.78	22.22
chr21.9437472	chr21	9437472	F	48	87.50	12.50
chr21.9437488	chr21	9437488	F	48	0.00	100.00
chr21.9437516	chr21	9437516	F	42	90.48	9.52
chr21.9437518	chr21	9437518	F	45	86.67	13.33
chr21.9437530	chr21	9437530	F	28	0.00	100.00
chr21.9437532	chr21	9437532	F	23	73.91	26.09
chr21.9437535	chr21	9437535	F	25	76.00	24.00
chr21.9437445	chr21	9437445	R	54	81.48	18.52
chr21.9437459	chr21	9437459	R	59	71.19	28.81
chr21.9437462	chr21	9437462	R	58	86.21	13.79
chr21.9437465	chr21	9437465	R	56	83.93	16.07
chr21.9437471	chr21	9437471	R	57	63.16	36.84
chr21.9437473	chr21	9437473	R	54	77.78	22.22
chr21.9437489	chr21	9437489	R	60	93.33	6.67
chr21.9437517	chr21	9437517	R	56	92.86	7.14
chr21.9437519	chr21	9437519	R	57	0.00	100.00
chr21.9437531	chr21	9437531	R	49	0.00	100.00
chr21.9437533	chr21	9437533	R	31	0.00	100.00
chr21.9437536	chr21	9437536	R	31	83.87	16.13
chr21.9437539	chr21	9437539	R	30	86.67	13.33
chr21.9439599	chr21	9439599	F	12	91.67	8.33
chr21.9439635	chr21	9439635	F	12	91.67	8.33
chr21.9439677	chr21	9439677	F	19	78.95	21.05
chr21.9439684	chr21	9439684	F	22	40.91	59.09
chr21.9439716	chr21	9439716	F	12	66.67	33.33
chr21.9439724	chr21	9439724	F	10	80.00	20.00
chr21.9439636	chr21	9439636	R	12	83.33	16.67
chr21.9439678	chr21	9439678	R	19	84.21	15.79
