chr	start	end	CpG	test1_DMRfinder-N	test1_DMRfinder-X	test2_DMRfinder-N	test2_DMRfinder-X	test3_DMRfinder-N	test3_DMRfinder-X	test4_DMRfinder-N	test4_DMRfinder-X	control1_DMRfinder-N	control1_DMRfinder-X	control2_DMRfinder-N	control2_DMRfinder-X	control3_DMRfinder-N	control3_DMRfinder-X	control4_DMRfinder-N	control4_DMRfinder-X
chr1	202833314	202833370	4	88	22	236	117	32	16	92	41	52	26	148	74	80	39	80	15
chr2	33419146	33419214	6	60	38	36	19	66	27	30	13	216	82	126	56	24	15	84	54
chr2	127877184	127877225	5	30	22	60	39	NA	NA	275	198	80	62	85	68	345	207	130	100
chr3	78837366	78837422	5	140	81	95	52	55	29	NA	NA	NA	NA	NA	NA	80	36	NA	NA
chr3	136115462	136115657	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	3	NA	NA
chr3	181559547	181559603	4	32	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	10
chr4	190008866	190008935	7	84	38	28	16	NA	NA	77	34	77	40	NA	NA	42	19	35	19
chr5	43385091	43385290	12	NA	NA	48	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5	54525606	54525804	11	22	15	NA	NA	33	23	32	25	32	17	33	26	NA	NA	33	23
chr5	160109772	160109970	11	NA	NA	NA	NA	NA	NA	NA	NA	22	10	33	20	NA	NA	NA	NA
chr6	27607849	27607917	4	28	6	NA	NA	48	25	NA	NA	32	17	100	54	20	14	NA	NA
chr6	163009708	163009744	5	NA	NA	180	68	20	4	NA	NA	100	28	NA	NA	130	43	100	37
chr7	23085532	23085581	5	NA	NA	135	96	75	55	65	50	95	76	175	118	35	21	NA	NA
chr7	99024567	99024640	6	24	12	162	65	42	14	306	152	120	62	156	50	NA	NA	NA	NA
chr7	123340086	123340154	7	91	45	287	156	63	38	217	113	469	217	98	54	217	133	259	145
chr8	25164078	25164102	3	36	34	84	54	21	20	48	31	NA	NA	30	14	21	11	153	116
chr9	26806618	26806678	5	95	82	205	150	85	74	120	117	100	71	105	100	180	106	90	73
chr9	103465481	103465549	6	NA	NA	24	5	36	19	342	76	36	18	66	18	210	92	NA	NA
chr10	67315706	67315766	5	120	66	290	140	210	131	310	91	80	27	195	138	25	14	NA	NA
chr13	66900643	66900711	7	98	66	NA	NA	336	243	NA	NA	336	205	63	42	NA	NA	NA	NA
chr13	110940329	110940385	4	64	0	76	0	NA	NA	52	1	NA	NA	168	0	88	0	44	0
chr16	17599839	17599872	5	40	12	235	108	30	10	120	65	90	38	NA	NA	85	41	145	50
chr16	76535689	76535782	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	9	NA	NA	NA	NA
chr17	1349986	1350046	5	80	11	165	40	75	18	50	15	75	7	20	4	105	40	25	4
chr17	9742202	9742254	4	28	10	44	18	20	10	216	64	92	11	NA	NA	20	5	112	37
chr18	43080268	43080466	16	NA	NA	NA	NA	48	23	NA	NA	48	19	48	23	NA	NA	NA	NA
chr18	50041833	50041893	4	296	216	NA	NA	60	41	40	23	36	16	40	27	24	13	NA	NA
chr21	9437432	9437538	14	923	577	NA	NA	NA	NA	598	456	1144	675	637	498	286	193	728	418
